ticker,name,market
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
373220,LG에너지솔루션,KOSPI
207940,삼성바이오로직스,KOSPI
005380,현대차,KOSPI
005935,삼성전자우,KOSPI
068270,셀트리온,KOSPI
000270,기아,KOSPI
035420,NAVER,KOSPI
105560,KB금융,KOSPI
012450,한화에어로스페이스,KOSPI
329180,HD현대중공업,KOSPI
055550,신한지주,KOSPI
138040,메리츠금융지주,KOSPI
012330,현대모비스,KOSPI
005490,POSCO홀딩스,KOSPI
042660,한화오션,KOSPI
028260,삼성물산,KOSPI
096770,SK이노베이션,KOSPI
034020,두산에너빌리티,KOSPI
000810,삼성화재,KOSPI
032830,삼성생명,KOSPI
086790,하나금융지주,KOSPI
051910,LG화학,KOSPI
035720,카카오,KOSPI
010130,고려아연,KOSPI
011200,HMM,KOSPI
006400,삼성SDI,KOSPI
259960,크래프톤,KOSPI
009540,HD한국조선해양,KOSPI
015760,한국전력,KOSPI
267260,HD현대일렉트릭,KOSPI
066570,LG전자,KOSPI
402340,SK스퀘어,KOSPI
033780,KT&G,KOSPI
316140,우리금융지주,KOSPI
017670,SK텔레콤,KOSPI
024110,기업은행,KOSPI
030200,KT,KOSPI
010140,삼성중공업,KOSPI
카카오뱅크,323410,KOSPI
포스코퓨처엠,003670,KOSPI
LG,003550,KOSPI
SK,034730,KOSPI
삼성전기,009150,KOSPI
한미반도체,042700,KOSPI
하이브,352820,KOSPI
현대글로비스,086280,KOSPI
삼성에스디에스,018260,KOSPI
현대로템,064350,KOSPI
유한양행,000100,KOSPI
SK바이오팜,326030,KOSPI
대한항공,003490,KOSPI
LS ELECTRIC,010120,KOSPI
포스코인터내셔널,047050,KOSPI
DB손해보험,005830,KOSPI
아모레퍼시픽,090430,KOSPI
LIG넥스원,079550,KOSPI
삼양식품,003230,KOSPI
S-Oil,010950,KOSPI
에코프로머티,450080,KOSPI
HD현대마린솔루션,443060,KOSPI
한화시스템,272210,KOSPI
두산,000150,KOSPI
HD현대,267250,KOSPI  
한국항공우주,047810,KOSPI
코웨이,021240,KOSPI
현대차2우B,005387,KOSPI
한진칼,180640,KOSPI
SKC,011790,KOSPI
맥쿼리인프라,088980,KOSPI
LG생활건강,051900,KOSPI
삼성카드,029780,KOSPI
미래에셋증권,006800,KOSPI
LG씨엔에스,064400,KOSPI
두산밥캣,241560,KOSPI
LG디스플레이,034220,KOSPI
NH투자증권,005940,KOSPI
한국타이어앤테크놀로지,161390,KOSPI
두산로보틱스,454910,KOSPI
LG유플러스,032640,KOSPI
한국금융지주,071050,KOSPI
효성중공업,298040,KOSPI
HD현대미포,010620,KOSPI
카카오페이,377300,KOSPI
오리온,271560,KOSPI
삼성증권,016360,KOSPI
넷마블,251270,KOSPI
포스코DX,022100,KOSPI
현대건설,000720,KOSPI
LG이노텍,011070,KOSPI
엔씨소프트,036570,KOSPI
LS,006260,KOSPI
현대차우,005385,KOSPI
GS,078930,KOSPI
현대오토에버,307950,KOSPI
BNK금융지주,138930,KOSPI
SK바이오사이언스,302440,KOSPI
CJ제일제당,097950,KOSPI
시프트업,462870,KOSPI
삼성E&A,028050,KOSPI
한화솔루션,009830,KOSPI
JB금융지주,175330,KOSPI
현대제철,004020,KOSPI
강원랜드,035250,KOSPI
한미약품,128940,KOSPI
금호석유,011780,KOSPI
엘앤에프,066970,KOSPI
한화,000880,KOSPI
한국가스공사,036460,KOSPI
CJ,001040,KOSPI
키움증권,039490,KOSPI
한온시스템,018880,KOSPI
롯데케미칼,011170,KOSPI
F&F,383220,KOSPI
이수페타시스,007660,KOSPI
한전기술,052690,KOSPI
KCC,002380,KOSPI
대한전선,001440,KOSPI
롯데지주,004990,KOSPI
동서,026960,KOSPI
한화비전,489790,KOSPI
더존비즈온,012510,KOSPI
에스원,012750,KOSPI
SK가스,018670,KOSPI
휠라홀딩스,081660,KOSPI
한화생명,088350,KOSPI
아시아나항공,020560,KOSPI
CJ대한통운,000120,KOSPI
이마트,139480,KOSPI
산일전기,062040,KOSPI
현대해상,001450,KOSPI
현대엘리베이,017800,KOSPI
농심,004370,KOSPI
제일기획,030000,KOSPI
HL만도,204320,KOSPI
에이피알,278470,KOSPI
DB하이텍,000990,KOSPI
한올바이오파마,009420,KOSPI
팬오션,028670,KOSPI
SK아이이테크놀로지,361610,KOSPI
한미사이언스,008930,KOSPI
한전KPS,051600,KOSPI
영원무역,111770,KOSPI
한화엔진,082740,KOSPI
롯데쇼핑,023530,KOSPI
BGF리테일,282330,KOSPI
코스모신소재,005070,KOSPI
코스맥스,192820,KOSPI
아모레G,002790,KOSPI
씨에스윈드,112610,KOSPI
풍산,103140,KOSPI
HD현대인프라코어,042670,KOSPI
이수스페셜티케미컬,457190,KOSPI
호텔신라,008770,KOSPI
DGB금융지주,139130,KOSPI
에스엘,005850,KOSPI
코리안리,003690,KOSPI
GS건설,006360,KOSPI
오뚜기,007310,KOSPI
녹십자,006280,KOSPI
DL이앤씨,375500,KOSPI
OCI홀딩스,010060,KOSPI
대웅제약,069620,KOSPI
한국앤컴퍼니,000240,KOSPI
대우건설,047040,KOSPI
신세계,004170,KOSPI
금호타이어,073240,KOSPI
일진전기,103590,KOSPI
SK리츠,395400,KOSPI
동원산업,006040,KOSPI
한국콜마,161890,KOSPI
신영증권,001720,KOSPI
롯데에너지머티리얼즈,020150,KOSPI
하이트진로,000080,KOSPI
한솔케미칼,014680,KOSPI
GS리테일,007070,KOSPI
HD현대건설기계,267270,KOSPI
에스디바이오센서,137310,KOSPI
현대백화점,069960,KOSPI
DN오토모티브,007340,KOSPI
HDC현대산업개발,294870,KOSPI
대웅,003090,KOSPI
금양,001570,KOSPI
영원무역홀딩스,009970,KOSPI
LS에코에너지,229640,KOSPI
경동나비엔,009450,KOSPI
현대위아,011210,KOSPI
종근당,185750,KOSPI
동원시스템즈,014820,KOSPI
한샘,009240,KOSPI
LX인터내셔널,001120,KOSPI
한일시멘트,300720,KOSPI
세방전지,004490,KOSPI
롯데정밀화학,004000,KOSPI
두산퓨얼셀,336260,KOSPI
롯데렌탈,089860,KOSPI
LX세미콘,108320,KOSPI
더블유게임즈,192080,KOSPI
롯데웰푸드,280360,KOSPI
SNT다이내믹스,003570,KOSPI
ESR켄달스퀘어리츠,365550,KOSPI
효성티앤씨,298020,KOSPI
SK네트웍스,001740,KOSPI
파라다이스,034230,KOSPI
롯데리츠,330590,KOSPI
LG화학우,051915,KOSPI
오리온홀딩스,001800,KOSPI
롯데칠성,005300,KOSPI
대덕전자,353200,KOSPI
코오롱인더,120110,KOSPI
가온전선,000500,KOSPI
세아제강지주,003030,KOSPI
삼성화재우,000815,KOSPI
솔루엠,248070,KOSPI
HS효성첨단소재,298050,KOSPI
HD현대마린엔진,071970,KOSPI
하나투어,039130,KOSPI
DI동일,001530,KOSPI
KB발해인프라,415640,KOSPI
보령,003850,KOSPI
SK오션플랜트,100090,KOSPI
빙그레,005180,KOSPI
프레스티지바이오파마,950210,KOSPI
대신증권,003540,KOSPI
미원상사,002840,KOSPI
다우기술,023590,KOSPI
CJ CGV,079160,KOSPI
현대지에프홀딩스,005440,KOSPI
미래에셋생명,085620,KOSPI
전진건설로봇,079900,KOSPI
효성,004800,KOSPI
코스모화학,005420,KOSPI
태광산업,003240,KOSPI
HDC,012630,KOSPI
율촌화학,008730,KOSPI
한국카본,017960,KOSPI
대상,001680,KOSPI
케이씨텍,281820,KOSPI
덴티움,145720,KOSPI
쿠쿠홀딩스,192400,KOSPI
동양생명,082640,KOSPI
한국단자,025540,KOSPI
태영건설,009410,KOSPI
한화투자증권,003530,KOSPI
SK케미칼,285130,KOSPI
영풍,000670,KOSPI
이노션,214320,KOSPI
KG모빌리티,003620,KOSPI
TCC스틸,002710,KOSPI
교보증권,030610,KOSPI
NICE평가정보,030190,KOSPI
신한알파리츠,293940,KOSPI
솔루스첨단소재,336370,KOSPI
미원에스씨,268280,KOSPI
DL,000210,KOSPI
세아베스틸지주,001430,KOSPI
GKL,114090,KOSPI
SK디스커버리,006120,KOSPI
NHN,181710,KOSPI
TKG휴켐스,069260,KOSPI
파미셀,005690,KOSPI
녹십자홀딩스,005250,KOSPI
LG전자우,066575,KOSPI
대한유화,006650,KOSPI
한화리츠,451800,KOSPI
화승엔터프라이즈,241590,KOSPI
두산우,000155,KOSPI
엠앤씨솔루션,484870,KOSPI
케이카,381970,KOSPI
STX엔진,077970,KOSPI
롯데관광개발,032350,KOSPI
